event.time,dataSource.name,event.type,event.source,event.target,event.details,activity_name,actor.user.email_addr,actor.user.name,dataSource.vendor,device.hostname,dst_endpoint.svc_name,http_request.url.path,metadata.product.name,metadata.product.vendor_name,severity,src_endpoint.ip,src_endpoint.uid,status,user.name,activity_id,actor.user.type,actor.user.type_id,actor.user.uid,api.version,category_name,category_uid,class_name,class_uid,dataSource.category,device.risk_level,device.risk_level_id,http_request.uid,http_request.url.query_string,http_request.user_agent,location.coordinates.lat,location.coordinates.lon,metadata.correlation_uid,metadata.original_time,metadata.uid,metadata.version,observables,src_endpoint.location.city,src_endpoint.location.country,src_endpoint.location.isp,src_endpoint.location.postal_code,status_detail,src_endpoint.location.region,unmapped.actor.type,unmapped.authenticationContext.authenticationStep,unmapped.authenticationContext.externalSessionId,unmapped.authenticationContext.rootSessionId,unmapped.client.device,unmapped.client.geographicalContext.city,unmapped.client.geographicalContext.country,unmapped.client.geographicalContext.geolocation.lat,unmapped.client.geographicalContext.geolocation.lon,unmapped.client.geographicalContext.postalCode,unmapped.client.geographicalContext.state,unmapped.client.id,unmapped.client.ipAddress,unmapped.client.userAgent.browser,unmapped.client.userAgent.os,unmapped.client.userAgent.rawUserAgent,unmapped.debugContext.debugData.appContextName,unmapped.debugContext.debugData.authnRequestId,unmapped.debugContext.debugData.category,unmapped.debugContext.debugData.deviceFingerprint,unmapped.debugContext.debugData.dtHash,unmapped.debugContext.debugData.emailProvider,unmapped.debugContext.debugData.emailRequestId,unmapped.debugContext.debugData.grantType,unmapped.debugContext.debugData.logOnlySecurityData,unmapped.debugContext.debugData.oktaUserAgentExtended,unmapped.debugContext.debugData.redirectUri,unmapped.debugContext.debugData.requestId,unmapped.debugContext.debugData.requestUri,unmapped.debugContext.debugData.threatSuspected,unmapped.debugContext.debugData.url,unmapped.displayMessage,unmapped.eventType,unmapped.legacyEventType,unmapped.request.ipChain,unmapped.securityContext.asNumber,unmapped.securityContext.asOrg,unmapped.securityContext.domain,unmapped.securityContext.isp,unmapped.securityContext.isProxy,unmapped.severity,unmapped.target,unmapped.transaction.type,unmapped.version
,Okta,OIDC token revocation request,,,,OIDC token revocation request,0oaip40pmQqTi2BlY1d6,Okta Dashboard,Okta,,,,Okta,Okta,3,,,FAILURE,,99,,99,okta.2b1959c8-bcc0-56eb-a589-cfcfb7422f26,,Uncategorized,0,Base Event,0,security,Other,99,,,,,,ee0af1d7fddd7a06a1877122a4c9448a,2024-06-26T17:56:16.427Z,627708ad-33e5-11ef-a8f4-2f06c6d98dfc,1.0.0,,,,,,invalid_token,,PublicClientApp,0,unknown,unknown,Computer,Ann Arbor,United States,42.2324,-83.7017,48108,Michigan,,96.70.72.185,CHROME,Mac OS X,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,,,,24f8bb25bde32aa080908ab69bd797831a8ba587c0a0bf72057a4eac60bfba5c,,,,,,,ee0af1d7fddd7a06a1877122a4c9448a,/oauth2/v1/revoke,false,/oauth2/v1/revoke?,OIDC token revocation request,app.oauth2.token.revoke,app.oauth2.token.revoke_failure,"[{""ip"":""96.70.72.185"",""geographicalContext"":{""country"":""United States"",""city"":""Ann Arbor"",""postalCode"":""48108"",""state"":""Michigan"",""geolocation"":{""lon"":-83.7017,""lat"":42.2324}},""version"":""V4""}]",7922,comcast,comcastbusiness.net,comcast,false,WARN,,WEB,0
,Okta,User logout from Okta,,,,User logout from Okta,"'jeanluc@starfleet.corp",Jean-Luc Picard,Okta,,,,Okta,Okta,3,,,SUCCESS,,99,,1,00ufdl65fpbaqvo4F1d7,,Uncategorized,0,Base Event,0,security,Other,99,,,,,,b67af09bdaa58a86c5b7f207e9b6b0b2,2024-06-26T17:56:16.129Z,62498f4d-33e5-11ef-9d48-a9e6449047f1,1.0.0,,,,,,,,User,0,102HLWg0jScRqeLzuubqBUtWw,102HLWg0jScRqeLzuubqBUtWw,Computer,Ann Arbor,United States,42.2324,-83.7017,48108,Michigan,,96.70.72.185,CHROME,Mac OS X,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,e14c15fa15ed86afefaae0a46b8beb48,,,24f8bb25bde32aa080908ab69bd797831a8ba587c0a0bf72057a4eac60bfba5c,,,,,,,b67af09bdaa58a86c5b7f207e9b6b0b2,/oauth2/v1/logout,false,/oauth2/v1/logout?id_token_hint=eyJraWQiOiJpcmRXUjJDOE9tb3hqOWtFZlRUVWRXYzJQbTBOOFFEQnV3ZDk3SFI1czlzIiwiYWxnIjoiUlMyNTYifQ.eyJzdWIiOiIwMHVmZGw2NWZwYmFxdm80RjFkNyIsImxvY2FsZSI6ImVuLVVTIiwiZW1haWwiOiJqZWFubHVjQHN0YXJmbGVldC5jb3JwIiwidmVyIjoxLCJpc3MiOiJodHRwczovL3NlbnRpbmVsb25lLWRldi5va3RhcHJldmlldy5jb20iLCJhdWQiOiJva3RhLjJiMTk1OWM4LWJjYzAtNTZlYi1hNTg5LWNmY2ZiNzQyMmYyNiIsImlhdCI6MTcxOTQyNDUxNCwiZXhwIjoxNzE5NDI4MTE0LCJqdGkiOiJJRC5sS2NKTGpCb2dBWlhFOHRwajNaTlh6Nzg0NkgyWDNSYTBnOHQxcWpYQUY4IiwiYW1yIjpbInB3ZCJdLCJpZHAiOiIwMG9pcDQwbXZPZ1U1djNvTTFkNiIsIm5vbmNlIjoiWUVQVGJXd29VeHZOV2NJZmtYdjlyNDI3cFpYSjduWU5BdDdnWTJKbndFNmt4ckJ3enZFbmtZTjZzc3gwZUYwMyIsInByZWZlcnJlZF91c2VybmFtZSI6ImplYW5sdWNAc3RhcmZsZWV0LmNvcnAiLCJnaXZlbl9uYW1lIjoiSmVhbi1MdWMiLCJmYW1pbHlfbmFtZSI6IlBpY2FyZCIsInpvbmVpbmZvIjoiQW1lcmljYS9Mb3NfQW5nZWxlcyIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwiYXV0aF90aW1lIjoxNzE5NDI0NTEzLCJhdF9oYXNoIjoibXBPMjRmR1huN2FTRFV5Vk8wVnUzdyJ9.CZeCT7vJ00d7wivODLQ4Aa6q7AX9Axvndl76VgOp_731EfjpBgYKo1CDMyNXw2tKRfadcod9tC7GxdOrZxVh6z04ER2ICugO8V3-VCBh2vVvXmWZfhhcLfET-xe_Xq856mdSEUfVxDDbMX9DA8mFsDK6QpYXahMa52MYeKlXCkDUPHH7PDSMv9M-jD0I4TmX2WDVDZr0pEQp-N2K2TQXD7fzEqpD1D9bbLPc9zr07A3C_99SUC0QAFEKP3uR7S-tCUUFjUqK7Yg1J9GPXOLaDiOWqUHG1kBGdAKE3YdqIlCx4HUkX4ygQwfRcl7rbDamxINCW4BLOXTAVIkF1PeIvg&post_logout_redirect_uri=https%3A%2F%2Fsentinelone-dev.oktapreview.com%2Flogin%2Fsignout,User logout from Okta,user.session.end,core.user_auth.logout_success,"[{""ip"":""96.70.72.185"",""geographicalContext"":{""country"":""United States"",""city"":""Ann Arbor"",""postalCode"":""48108"",""state"":""Michigan"",""geolocation"":{""lon"":-83.7017,""lat"":42.2324}},""version"":""V4""}]",7922,comcast,comcastbusiness.net,comcast,false,INFO,"'[{""alternateId"":""jeanluc@starfleet.corp"",""displayName"":""Jean-Luc Picard"",""id"":""00ufdl65fpbaqvo4F1d7"",""type"":""User""}]",WEB,0
,Okta,OIDC token revocation request,,,,OIDC token revocation request,0oaip40pmQqTi2BlY1d6,Okta Dashboard,Okta,,,,Okta,Okta,3,,,SUCCESS,,99,,99,okta.2b1959c8-bcc0-56eb-a589-cfcfb7422f26,,Uncategorized,0,Base Event,0,security,Other,99,,,,,,0eebdf611b27976f7245884d34a0b980,2024-06-26T17:56:15.806Z,621846a0-33e5-11ef-9f54-f776ee87b07c,1.0.0,,,,,,,,PublicClientApp,0,unknown,unknown,Computer,Ann Arbor,United States,42.2324,-83.7017,48108,Michigan,,96.70.72.185,CHROME,Mac OS X,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",,,,,62d258a46361e4e4fc9c55c03bd875719a0a4a0792375730a5310cb5c36dd7b0,,,,,,,0eebdf611b27976f7245884d34a0b980,/oauth2/v1/revoke,false,/oauth2/v1/revoke?,OIDC token revocation request,app.oauth2.token.revoke,app.oauth2.token.revoke_success,"[{""ip"":""96.70.72.185"",""geographicalContext"":{""country"":""United States"",""city"":""Ann Arbor"",""postalCode"":""48108"",""state"":""Michigan"",""geolocation"":{""lon"":-83.7017,""lat"":42.2324}},""version"":""V4""}]",7922,comcast,comcastbusiness.net,comcast,false,INFO,"[{""displayName"":""Access Token"",""id"":""AT.48ERw2RUR4e5WhQlIG_LKciIZzvTDD4HtB49d5bsNuQ"",""type"":""access_token"",""detailEntry"":{""expires"":""2024-06-26T18:55:14.000Z"",""subject"":""00ufdl65fpbaqvo4F1d7"",""hash"":""mpO24fGXn7aSDUyVO0Vu3w""}}]",WEB,0
,Okta,Send user MFA enrollment notification email,,,,Send user MFA enrollment notification email,"'jeanluc@starfleet.corp",Jean-Luc Picard,Okta,,,,Okta,Okta,3,,,SUCCESS,,99,,1,00ufdl65fpbaqvo4F1d7,,Uncategorized,0,Base Event,0,security,Other,99,,,,,,48d100f99a759d20ef7e59a00d7bfa80,2024-06-26T17:56:07.034Z,5cddc689-33e5-11ef-ae31-2f44ef88d2ad,1.0.0,,,,,,,,User,0,102LbUx861WTESuknTlbK_CAA,102LbUx861WTESuknTlbK_CAA,Mobile,Ann Arbor,United States,42.2324,-83.7017,48108,Michigan,,96.70.72.185,UNKNOWN,Android,Dalvik/2.1.0 (Linux; U; Android 14; Pixel 8 Pro Build/AP2A.240605.024)OktaVerify/7.38.0,,,,,6e5c78ac5e77f21119a9a054f216b4fc45b993fe0b9a9949f28140134808e95f,,,,,,,48d100f99a759d20ef7e59a00d7bfa80,/api/v1/users/me/devices,,/api/v1/users/me/devices?,Send user MFA enrollment notification email,system.email.mfa_enroll_notification.sent_message,core.user.email.message_sent.mfa_enroll_notification,"[{""ip"":""96.70.72.185"",""geographicalContext"":{""country"":""United States"",""city"":""Ann Arbor"",""postalCode"":""48108"",""state"":""Michigan"",""geolocation"":{""lon"":-83.7017,""lat"":42.2324}},""version"":""V4""}]",7922,comcast,comcastbusiness.net,comcast,false,INFO,"'[{""alternateId"":""jeanluc@starfleet.corp"",""displayName"":""Jean-Luc Picard"",""id"":""00ufdl65fpbaqvo4F1d7"",""type"":""User""}]",WEB,0
,Okta,Activate factor for user,,,,Activate factor for user,"'jeanluc@starfleet.corp",Jean-Luc Picard,Okta,,,,Okta,Okta,3,,,SUCCESS,,99,,1,00ufdl65fpbaqvo4F1d7,,Uncategorized,0,Base Event,0,security,Other,99,,,,,,48d100f99a759d20ef7e59a00d7bfa80,2024-06-26T17:56:07.033Z,5cdd9f78-33e5-11ef-ae31-2f44ef88d2ad,1.0.0,,,,,,User set up OKTA_SOFT_TOKEN factor,,User,0,102LbUx861WTESuknTlbK_CAA,102LbUx861WTESuknTlbK_CAA,Mobile,Ann Arbor,United States,42.2324,-83.7017,48108,Michigan,,96.70.72.185,UNKNOWN,Android,Dalvik/2.1.0 (Linux; U; Android 14; Pixel 8 Pro Build/AP2A.240605.024)OktaVerify/7.38.0,,,,,6e5c78ac5e77f21119a9a054f216b4fc45b993fe0b9a9949f28140134808e95f,,,,,,,48d100f99a759d20ef7e59a00d7bfa80,/api/v1/users/me/devices,,/api/v1/users/me/devices?,Activate factor for user,user.mfa.factor.activate,core.user.factor.activate,"[{""ip"":""96.70.72.185"",""geographicalContext"":{""country"":""United States"",""city"":""Ann Arbor"",""postalCode"":""48108"",""state"":""Michigan"",""geolocation"":{""lon"":-83.7017,""lat"":42.2324}},""version"":""V4""}]",7922,comcast,comcastbusiness.net,comcast,false,INFO,"'[{""alternateId"":""jeanluc@starfleet.corp"",""displayName"":""Jean-Luc Picard"",""id"":""00ufdl65fpbaqvo4F1d7"",""type"":""User""}]",WEB,0
,Okta,Send user MFA enrollment notification email,,,,Send user MFA enrollment notification email,"'jeanluc@starfleet.corp",Jean-Luc Picard,Okta,,,,Okta,Okta,3,,,SUCCESS,,99,,1,00ufdl65fpbaqvo4F1d7,,Uncategorized,0,Base Event,0,security,Other,99,,,,,,48d100f99a759d20ef7e59a00d7bfa80,2024-06-26T17:56:06.930Z,5ccde807-33e5-11ef-ae31-2f44ef88d2ad,1.0.0,,,,,,,,User,0,102LbUx861WTESuknTlbK_CAA,102LbUx861WTESuknTlbK_CAA,Mobile,Ann Arbor,United States,42.2324,-83.7017,48108,Michigan,,96.70.72.185,UNKNOWN,Android,Dalvik/2.1.0 (Linux; U; Android 14; Pixel 8 Pro Build/AP2A.240605.024)OktaVerify/7.38.0,,,,,6e5c78ac5e77f21119a9a054f216b4fc45b993fe0b9a9949f28140134808e95f,,,,,,,48d100f99a759d20ef7e59a00d7bfa80,/api/v1/users/me/devices,,/api/v1/users/me/devices?,Send user MFA enrollment notification email,system.email.mfa_enroll_notification.sent_message,core.user.email.message_sent.mfa_enroll_notification,"[{""ip"":""96.70.72.185"",""geographicalContext"":{""country"":""United States"",""city"":""Ann Arbor"",""postalCode"":""48108"",""state"":""Michigan"",""geolocation"":{""lon"":-83.7017,""lat"":42.2324}},""version"":""V4""}]",7922,comcast,comcastbusiness.net,comcast,false,INFO,"'[{""alternateId"":""jeanluc@starfleet.corp"",""displayName"":""Jean-Luc Picard"",""id"":""00ufdl65fpbaqvo4F1d7"",""type"":""User""}]",WEB,0
,Okta,Activate factor for user,,,,Activate factor for user,"'jeanluc@starfleet.corp",Jean-Luc Picard,Okta,,,,Okta,Okta,3,,,SUCCESS,,99,,1,00ufdl65fpbaqvo4F1d7,,Uncategorized,0,Base Event,0,security,Other,99,,,,,,48d100f99a759d20ef7e59a00d7bfa80,2024-06-26T17:56:06.927Z,5ccd72d6-33e5-11ef-ae31-2f44ef88d2ad,1.0.0,,,,,,User set up OKTA_VERIFY_PUSH factor,,User,0,102LbUx861WTESuknTlbK_CAA,102LbUx861WTESuknTlbK_CAA,Mobile,Ann Arbor,United States,42.2324,-83.7017,48108,Michigan,,96.70.72.185,UNKNOWN,Android,Dalvik/2.1.0 (Linux; U; Android 14; Pixel 8 Pro Build/AP2A.240605.024)OktaVerify/7.38.0,,,,,6e5c78ac5e77f21119a9a054f216b4fc45b993fe0b9a9949f28140134808e95f,,,,,,,48d100f99a759d20ef7e59a00d7bfa80,/api/v1/users/me/devices,,/api/v1/users/me/devices?,Activate factor for user,user.mfa.factor.activate,core.user.factor.activate,"[{""ip"":""96.70.72.185"",""geographicalContext"":{""country"":""United States"",""city"":""Ann Arbor"",""postalCode"":""48108"",""state"":""Michigan"",""geolocation"":{""lon"":-83.7017,""lat"":42.2324}},""version"":""V4""}]",7922,comcast,comcastbusiness.net,comcast,false,INFO,"'[{""alternateId"":""jeanluc@starfleet.corp"",""displayName"":""Jean-Luc Picard"",""id"":""00ufdl65fpbaqvo4F1d7"",""type"":""User""}]",WEB,0
,Okta,Verify user identity,,,,Verify user identity,"'jeanluc@starfleet.corp",Jean-Luc Picard,Okta,,,,Okta,Okta,3,,,SUCCESS,,99,,1,00ufdl65fpbaqvo4F1d7,,Uncategorized,0,Base Event,0,security,Other,99,,,,,,48d100f99a759d20ef7e59a00d7bfa80,2024-06-26T17:56:06.711Z,5cac7d55-33e5-11ef-ae31-2f44ef88d2ad,1.0.0,,,,,,,,User,0,102LbUx861WTESuknTlbK_CAA,102LbUx861WTESuknTlbK_CAA,Mobile,Ann Arbor,United States,42.2324,-83.7017,48108,Michigan,,96.70.72.185,UNKNOWN,Android,Dalvik/2.1.0 (Linux; U; Android 14; Pixel 8 Pro Build/AP2A.240605.024)OktaVerify/7.38.0,,,,,6e5c78ac5e77f21119a9a054f216b4fc45b993fe0b9a9949f28140134808e95f,,,,,,,48d100f99a759d20ef7e59a00d7bfa80,/api/v1/users/me/devices,,/api/v1/users/me/devices?,Verify user identity,user.authentication.verify,,"[{""ip"":""96.70.72.185"",""geographicalContext"":{""country"":""United States"",""city"":""Ann Arbor"",""postalCode"":""48108"",""state"":""Michigan"",""geolocation"":{""lon"":-83.7017,""lat"":42.2324}},""version"":""V4""}]",7922,comcast,comcastbusiness.net,comcast,false,INFO,,WEB,0
,Okta,Logon,,,,Logon,,,Okta,,,/api/v1/users/me/devices,Okta,Okta,3,96.70.72.185,,ALLOW,,1,,1,,0,Identity & Access Management,3,Authentication,3002,security,Other,99,48d100f99a759d20ef7e59a00d7bfa80,/api/v1/users/me/devices?,Dalvik/2.1.0 (Linux; U; Android 14; Pixel 8 Pro Build/AP2A.240605.024)OktaVerify/7.38.0,42.2324,-83.7017,48d100f99a759d20ef7e59a00d7bfa80,2024-06-26T17:56:06.691Z,5ca97014-33e5-11ef-ae31-2f44ef88d2ad,1.0.0,"'[{""type_id"":2,""name"":""src_endpoint.ip"",""type"":""IP Address"",""value"":""96.70.72.185""}, {""type_id"":4,""name"":""actor.user.name"",""type"":""User Name"",""value"":""Jean-Luc Picard""}, {""type_id"":5,""name"":""actor.user.email_addr"",""type"":""Email Address"",""value"":""jeanluc@starfleet.corp""}, {""type_id"":6,""name"":""http_request.url.path"",""type"":""URL String"",""value"":""\/api\/v1\/users\/me\/devices""}, {""type_id"":26,""name"":""client.geographicalContext.geolocation"",""type"":""Geo Location"",""value"":""42.2324, -83.7017""}]",Ann Arbor,United States,comcast,48108,Sign-on policy evaluation resulted in ALLOW,Michigan,,0,,102LbUx861WTESuknTlbK_CAA,Mobile,,,,,,,,,UNKNOWN,Android,,,,,,6e5c78ac5e77f21119a9a054f216b4fc45b993fe0b9a9949f28140134808e95f,,,,"{""risk"":{""reasons"":""Anomalous Device"",""level"":""MEDIUM""},""behaviors"":{""New Geo-Location"":""NEGATIVE"",""New Device"":""POSITIVE"",""User Authenticating on new device."":""POSITIVE"",""New IP"":""NEGATIVE"",""New State"":""NEGATIVE"",""New Country"":""NEGATIVE"",""Velocity"":""NEGATIVE"",""New City"":""NEGATIVE""}}",,,,,,,Evaluation of sign-on policy,policy.evaluate_sign_on,,"[{""ip"":""96.70.72.185"",""geographicalContext"":{""country"":""United States"",""city"":""Ann Arbor"",""postalCode"":""48108"",""state"":""Michigan"",""geolocation"":{""lon"":-83.7017,""lat"":42.2324}},""version"":""V4""}]",7922,comcast,,,false,INFO,"[{""alternateId"":""unknown"",""displayName"":""Default Policy"",""id"":""00pip40n9OJoo15w31d6"",""type"":""PolicyEntity"",""detailEntry"":{""policyType"":""OktaSignOn""}}, {""alternateId"":""00pip40n9OJoo15w31d6"",""displayName"":""Default Rule"",""id"":""0prip40naJun6wUhh1d6"",""type"":""PolicyRule""}]",WEB,
,Okta,Email delivery,,,,Email delivery,"'system@okta.com",Okta System,Okta,,,,Okta,Okta,3,,,FAILURE,,99,,3,unknown,,Uncategorized,0,Base Event,0,security,Other,99,,,,,,op3-jobecs01a.auw2-op3.internal17193409155331719340945682,2024-06-26T17:56:00.709Z,5918a765-33e5-11ef-bb51-e77445e289c3,1.0.0,,,,,,bounce,,SystemPrincipal,0,trssX2EM0teSUK2DkuXRoR3mw,trssX2EM0teSUK2DkuXRoR3mw,,,,,,,,,,,,,None,,email.factorResetWithReportSuspiciousActivityButton,,,sendgrid,5a6393e306b46b4e4b3b45048da63f3e,,,,,,,,,Email delivery,system.email.delivery,,,,,,,,INFO,"'[{""displayName"":""jeanluc@starfleet.corp"",""id"":""jeanluc@starfleet.corp"",""type"":""email""}]",JOB,0
